id;first_name;last_name;company;position;email;attendence;punctuality;meeting_targets;company_policy;code_quality;image;image_content_type
1;George;Armstrong;invoice bleeding-edge programming;Ohio Health;Rachelle.Waelchi@hotmail.com;5042;65843;51991;78557;36344;../fake-data/blob/hipster.png;image/png
2;Quinten;Denesik;Coves violet;Saint Barthelemy Virtual Accounts;Keyshawn48@hotmail.com;72185;64372;60888;19915;90740;../fake-data/blob/hipster.png;image/png
3;Minerva;Stokes;Functionality;Course Implementation embrace;Alva48@gmail.com;37490;23941;33027;75239;90768;../fake-data/blob/hipster.png;image/png
4;Blaze;Welch;lavender;online indexing redundant;Pauline_Volkman@yahoo.com;78711;66632;49251;19833;20574;../fake-data/blob/hipster.png;image/png
5;Curt;Jerde;gold;RAM;Macey.Barton75@yahoo.com;54960;71308;26465;23133;80101;../fake-data/blob/hipster.png;image/png
6;Shea;Barton;Switchable e-business;turn-key;Ralph52@gmail.com;98254;19801;85283;83387;31050;../fake-data/blob/hipster.png;image/png
7;Rickie;Barrows;leverage Unbranded;red Egyptian Pound Re-engineered;Damion65@hotmail.com;49929;56030;78778;49254;16689;../fake-data/blob/hipster.png;image/png
8;Johnson;Reilly;Fresh Cedi;XSS;Annie.Padberg48@gmail.com;59155;80551;40095;73299;75860;../fake-data/blob/hipster.png;image/png
9;Aryanna;Lueilwitz;Maine;Human withdrawal Accountability;Duncan36@yahoo.com;39931;87327;52726;18184;55169;../fake-data/blob/hipster.png;image/png
10;Magdalen;Rath;redundant digital;Bedfordshire directional real-time;Zella_Pagac@yahoo.com;68506;82997;69181;53093;84511;../fake-data/blob/hipster.png;image/png
